"ID","Cluster"
1,NA
2,0.0198592474558333
3,0.020708518630455
4,0.0207674495730043
5,0.0206277719017778
6,0.0195515243050766
7,0.0190492402563314
8,0.0209749973083779
9,0.0214767990672504
10,0.0218681060371953
11,0.0213621948739932
12,0.0228019028736635
13,0.025651001583277
14,0.0270865307719091
15,0.0272779902089381
16,0.0299127764793458
17,0.0298980706781298
18,0.0324669654565513
19,0.0316392766364967
20,0.0226048513570684
21,0.0238102332474544
22,0.0172554362669003
23,0.0191869203049817
24,0.0200313734419072
25,0.0218018442492631
26,0.023967162711145
27,0.025664621121783
28,0.0262245307679763
29,0.0308439784292542
30,0.0370145670070272
31,0.0422553790098142
32,0.0346793772383167
33,0.0369114481695982
34,0.040207567754116
35,0.0423676698413143
36,0.0436769329961307
37,0.0463307811027602
38,0.048007356816225
39,0.0458675085438222
40,0.0485169372035792
41,0.0522800313184418
42,0.0551709171804189
43,0.0613647992528166
44,0.0661290187499884
45,0.0690945040639754
46,0.0740142507184094
47,0.0766913872582176
48,0.0789937937241905
49,0.0812957479980497
50,0.086433173759044
